Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
M.2000.4.1.,peinture,tableau,,Vieilles maisons,CONTEL Jean Charles,"Glos (Calvados), 1895 ; ?, 1928",,1ère moitié 20e siècle,,,,,,,H. 79.5 ; L. 58.5 ; H. avec cadre 96.7 ; L. avec cadre 76,"peinture à l'huile, toile",,,"vue d'architecture (maison : façade, pan-de-bois, personnage)",,,,,,,06650001876,Lisieux;musée d'art et d'histoire,M0665,2002-06-20,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Lisieux,"49.145244,0.22421"
1803-1-12 ; 99 (Vitry) ; p. 328 (Laurent-Montaiglon),peinture,tableau,,Paysage au soleil levant,JULLIARD Jacques Nicolas (peintre),"JULLIARD : Paris, 1715 ; Paris, 1790",France (lieu de création),3e quart 18e siècle,1759,,,,,,Hauteur en m 1.305 ; Largeur en m 1.63 ; Hauteur avec cadre en m 1.53 ; Largeur avec cadre en m 1.842 ; Profondeur avec cadre en m 0.11,"peinture à l'huile, toile",,,"paysage, scène (effet de soleil, effet de lumière, effet de perspective, végétation, arbre, bois mort, rocher, aqueduc, torrent, cascade, berger, bergère, soldat, Romain, peintre, dessinateur, chien, mouton, vache)",,,propriété de la commune ; transfert de propriété de l'Etat ; Tours ; musée des beaux-arts,1803,,,02650000728,Tours;musée des beaux-arts,M0265,2014-09-11,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Tours,"47.391759,0.687758"
1825-1-36 ; p. 351 (Laurent-Montaiglon),peinture,tableau,,Saint Marc dans sa prison,anonyme (peintre),,France (lieu de création),1ère moitié 18e siècle,,,,,,,Hauteur en m 1.305 ; Largeur en m 0.98,"peinture à l'huile, toile",,,"scène biblique (saint Marc, Evangéliste, assis, prison, livre, plume, écrit, ange, Lion de saint Marc, inspiration, apparition, chaîne)",,,propriété de la commune ; saisie révolutionnaire ; Tours ; musée des beaux-arts,1793,,,02650000925,Tours;musée des beaux-arts,M0265,2014-09-11,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Tours,"47.391759,0.687758"
MV 2191 ; INV 2329 ; LP 969,peinture,tableau,,ANTOINE COYSEVOX (1640-1720),MAUZAISSE Jean-Baptiste ; ALLOU GILLES (d'après),,,2e quart 19e siècle,1834,,,,,,95 D3,peinture à l'huile;toile,,,"portrait (Coysevox Antoine, sculpteur, homme, à mi-corps, de trois-quarts, perruque, sculpture)",,,propriété de l'Etat ; achat après commande ; musée national des châteaux de Versailles et de Trianon,1834,1974,,000PE005386,Sceaux;musée de l'Ile-de-France,M0417,,1993-12-16,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Sceaux ; Musée de l'Ile-de-France,Sceaux,"48.777681,2.28964"
MPA 1993.10.1,estampe,,,Leurs champs,CLAUDE Annick,"Epinal, 1961 ; femme",,4e quart 20e siècle;1er quart 21e siècle,,,,,,,"H. 25.3, L. 33",,,,,,,don ; Antibes ; musée Picasso,date d'acquisition inconnue,,,08680001428,Antibes;musée Picasso,M0867,2008-04-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Antibes,"43.579541,7.122027"
MPA 1965.1.2,peinture,tableau,,Les Villes : la cathédrale,GAUDET Michel,,,3e quart 20e siècle,1962,,,,,,"H. 122, L. 83",,,,,,,don ; Antibes ; musée Picasso,1962,,,08680000478,Antibes;musée Picasso,M0867,2008-04-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Antibes,"43.579541,7.122027"
MPA 1957.10.32,photographie,tirage photographique,,Pigeon à une fenêtre ouverte sur le vieil Antibes,GREENWOOD Marianne,"Gallivare (Suède), 1916 ; Antibes, 2006 ; femme",,3e quart 20e siècle,1957,,,,,,"H. 24.7, L. 24",,,,,,,don ; Antibes ; musée Picasso,1957,,,08680000915,Antibes;musée Picasso,M0867,2008-04-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Suède,,Antibes,"43.579541,7.122027"
MPA 1957.10.60,photographie,tirage photographique,,"'Tête de femme au chignon' avec derrière, 'Pêcheur assis à la casquette'",GREENWOOD Marianne,"Gallivare (Suède), 1916 ; Antibes, 2006 ; femme",,3e quart 20e siècle,1957,,,,,,"H. 30.3, L. 24",,,,,,,don ; Antibes ; musée Picasso,1957,,,08680000965,Antibes;musée Picasso,M0867,2008-04-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Suède,,Antibes,"43.579541,7.122027"
MPA1957.10.106,photographie,tirage photographique,,"Vue du château et des fortifications, prise de la mer, de face",GREENWOOD Marianne,"Gallivare (Suède), 1916 ; Antibes, 2006 ; femme",,3e quart 20e siècle,1957,,,,,,"H. 23.7, L. 24",,,,,,,don ; Antibes ; musée Picasso,1957,,,08680001011,Antibes;musée Picasso,M0867,2008-04-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Suède,,Antibes,"43.579541,7.122027"
990.1.864 C ; IV JB / 15,estampe;histoire;vie militaire,découpage;jeu de loterie,série de guerre,LE LOTO NATIONAL / 1914 - DANS LA GRANDE GUERRE - 1918 / DE GRANDS CHEFS FRANCAIS (titre inscrit),"MORINET Louis Georges Albert (dessinateur, attribué à) ; PELLERIN & Cie (imprimeur, éditeur)","Ruffec, 1863 ; Nantes, 1926","France, Epinal (lieu d'édition, lieu de création)",1er quart 20e siècle,1918 vers,,,,,,"H. 40,1 cm ; l. 55,5 cm","papier (lithographie, colorié au pochoir)",,,"jeu de papiers ; portraits (officier, France, en buste, Première Guerre mondiale, Roques Pierre Auguste, général, Joffre Joseph, maréchal, Castelnau de Curières Edouard de, Pau Paul Marie César Gérald, Gallieni Joseph Simon, Maunoury Michel Joseph : administration, Gouraud Henri Joseph Eugène, Sarrail Maurice, Foch Ferdinand, Franchet d'Esperey Louis Félix, Pétain Philippe, Dubail Augustin)",,,propriété de la commune ; Epinal ; changement d'affectation ; musée de l'Image,,,,M0537028318,Epinal;musée de l'Image,M0537,2015-11-03,,,,,Epinal,"48.173396,6.451668"
990.1.2937 Alb ; Alb / Q 4,imprimé;histoire;vie militaire,album,série de guerre,NOS VAILLANTS ALLIÉS / PETITS SOLDATS DE BOIS / ANGLAIS ET BELGES / À COLORIER (titre inscrit),"MORINET Louis Georges Albert (dessinateur, attribué à) ; IMAGERIE D'EPINAL (imprimeur, éditeur)","Ruffec, 1863 ; Nantes, 1926","France, Epinal (lieu d'édition, lieu de création)",1er quart 20e siècle,1917,,,,,,"H. 23,5 cm ; l. 15,4 cm (livre fermé)","papier (lithographie, colorié au pochoir)",,,"représentation d'objet (soldat : bois, Angleterre, Belgique, pipe, pinceau, boîte : peinture, dessin : couleur) ; scène (garçon : en buste, képi, préhension, soldat : bois, Allemagne, Belgique) ; représentation d'objet (soldat : bois, Angleterre, pipe, chien, infirmière, drapeau, képi, sabre ; soldat : bois, à cheval, drapeau, salut ; soldat : bois, Belgique, fusil, baïonnette, canon, branche : laurier ; soldat : bois, Belgique, voiture à attelage, fusil, salut, à cheval, drapeau, sabre ; soldat : bois, Angleterre, Belgique, verser, bouteille, verre, en buste, pipe ; soldat : bois, Angleterre, Belgique, à cheval, drapeau)",,,propriété de la commune ; Epinal ; changement d'affectation ; musée de l'Image,,,,M0537029225,Epinal;musée de l'Image,M0537,2015-11-03,,,,,Epinal,"48.173396,6.451668"
95.9.3 ; FA 11101128 (Indice de classement),céramique,assiette (historiée),,Rébus (3)(Série décorative),manufacture de Sarreguemines (manufacture),,"France, Lorraine, Moselle, Sarreguemines (lieu d'exécution)",3e quart 19e siècle,1870 vers,,,,,,Diamètre en cm 19,"faïence fine feldspathique (blanche), impression (cuivre), glaçure (incolore)",,,"scène (allégorie : renommée, femme, enfant, vache, musique, sanglier)",,,propriété de la commune ; don ; Sarreguemines ; musée de la Faïence,1995,,,05330003687,Sarreguemines;musée de la Faïence,M0533,2009-05-20,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Sarreguemines,"49.110316,7.066637"
96.27 ; FA 11101357 (Indice de classement),céramique,assiette (historiée),,Conquête de l'Algérie (2)(Série décorative),manufacture de Sarreguemines (manufacture),,"France, Lorraine, Moselle, Sarreguemines (lieu d'exécution)",3e quart 19e siècle,1855 entre ; 1860 et,,,,,,Diamètre en cm 21.5,"faïence fine feldspathique (blanche),",,,"scène (Algérie, guerre, colonialisme, armée, fusil, tambour, homme)",,,propriété de la commune ; achat ; Sarreguemines ; musée de la Faïence,1996,,,05330004089,Sarreguemines;musée de la Faïence,M0533,2009-05-20,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Sarreguemines,"49.110316,7.066637"
96.43.1 ; FA 11101384 (Indice de classement),céramique,assiette (historiée),,Balivernes (Série décorative),manufacture de Sarreguemines (manufacture),,"France, Lorraine, Moselle, Sarreguemines (lieu d'exécution)",4e quart 19e siècle,1880 entre ; 1890 et,,,,,,Diamètre en cm 19.5,"faïence fine feldspathique (blanche), impression (cuivre), glaçure (incolore)",,,"scène (jardin : homme, femme) ; représentation animalière (coq, cheval, lion) ; figure (tête : homme)",,,propriété de la commune ; achat ; Sarreguemines ; musée de la Faïence,1996,,,05330004131,Sarreguemines;musée de la Faïence,M0533,2009-05-20,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Sarreguemines,"49.110316,7.066637"
96.84.4 ; FA 11101453 (Indice de classement),céramique,assiette (historiée),,Monde oiseau (le)(Série décorative),manufacture de Digoin (manufacture),,"France, Bourgogne, Saône-et-Loire, Digoin (lieu d'exécution)",1er quart 20e siècle,1900 vers,,,,,,Diamètre en cm 20.5,faïence fine feldspathique (blanche),,,"scène (restaurant, homme, femme)",,,propriété de la commune ; achat ; Sarreguemines ; musée de la Faïence,1996,,,05330004323,Sarreguemines;musée de la Faïence,M0533,2009-06-11,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Sarreguemines,"49.110316,7.066637"
D 1994.1,beaux-arts;dessin,,,La Cathédrale Saint-Maclou vue de la place du Grand Martroy,DURAND André,"DURAND : Amfreville-la-Mivoie, 1807 ; Paris, 1867",,2e quart 19e siècle,1848,,,,,,dimensions en centimètres 27.5 x 21.5 ; dimensions avec cadre en centimètres 37 x 31.5 x 2.6,"papier, mine de plomb, gouache blanche",,,"vue d'architecture (Pontoise, cathédrale, place, personnage)",,,propriété de la commune ; mode d'acquisition inconnu ; Pontoise ; musée Tavet-Delacour,date d'acquisition inconnue,,,04380003113,Pontoise;musée Tavet-Delacour,M0438,2015-10-23,,,France,,Pontoise,"49.050698,2.099848"
933.1.7 ; 2004.00213 (Récolement 2004/2005),peinture,tableau,,Arbres couchés dans les graves de Villerville,JOUANNY Paul,"JOUANNY : Paris, 1854 ; Paris, 1932 ; nationalité : Française",,2e moitié 19e siècle,,,,,,,Hauteur en cm 32 ; Largeur en cm 60 ; Hauteur avec cadre en cm 35 ; Largeur avec cadre en cm 63,"peinture à l'huile, bois",,,"paysage (Sainte-Adresse, mer, vent, herbe, homme, arbre, nuage)",,,propriété de la commune ; don ; Bernay ; musée des beaux-arts,1934,,,07010001789,Bernay;musée des beaux-arts,M0701,2009-06-16,2016-12-27,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Bernay,"49.088502,0.597071"
898.1.2,peinture,tableau,,Coucher de soleil sur la Seine,VALTAT Victor,"VALTAT : Dieppe, 1840 ; Paris, 1920",,4e quart 19e siècle,1876,,Pré-Impressionnisme,,,,Hauteur en cm 220 ; Largeur en cm 130,"peinture à l'huile, toile",,,"paysage (Arromanches-les-Bains, fleuve : Seine, ciel, effet de lumière, soleil, arbre)",,,propriété de la commune ; don ; Bernay ; musée des beaux-arts,1898,,,07010001777,Bernay;musée des beaux-arts,M0701,2009-06-16,2016-12-27,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Bernay,"49.088502,0.597071"
93.260.4 ; FA 1110930 (Indice de classement),céramique,assiette (historiée),,Troupiers en balade (Série décorative),manufacture de Sarreguemines (manufacture),,"France, Lorraine, Moselle, Sarreguemines (lieu d'exécution)",1er quart 20e siècle,1900 vers,,,,,,D. en cm 19.5,"faïence fine feldspathique (blanche), impression (peint), glaçure (incolore)",,,"scène (armée, soldat, femme, banc, amour)",,,propriété de la commune ; achat ; Sarreguemines ; musée de la Faïence,1993,,,05330005779,Sarreguemines;musée de la Faïence,M0533,2009-05-15,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Sarreguemines,"49.110316,7.066637"
991.2.77 ; 220 (Pré inventaire vente Cottin) ; 2005.01.0077D (Récolement 2004/2005),estampe,,,"Constantinople, vue du Bosphore","VAUCANU Emile (dessinateur, graveur)","VAUCANU : Bernay, 1864 ; Caucase, 1896 ; nationalité : Française",,4e quart 19e siècle,,,,,,,Hauteur de la feuille en cm 15 ; Largeur de la feuille en cm 18.6 ; Hauteur image en cm 5.4 ; Largeur image en cm 7.4,"impression, papier",,,"vue d'architecture (Constantinople, ville, quai, arcade, coupole, Bosphore, bateau)",,,propriété de la commune ; achat avec participation du FRAM ; Bernay ; musée des beaux-arts,1991,,,07010003367,Bernay;musée des beaux-arts,M0701,2015-10-14,,,France,,Bernay,"49.088502,0.597071"
V.T.2013.2.1,peinture,tableau,,Portrait d'Anne-Adrienne-Elie Tarin,anonyme,,"France, Bourgogne, Saône et Loire, Autun (lieu de création)",18e siècle,,,,,,,Hauteur en cm 78.30 ; Largeur en cm 64.50 ; Hauteur avec cadre en cm 91 ; Largeur avec cadre en cm 76.50,"peinture à l'huile, toile",,,"portrait (Tarin Anne Adrienne, femme, à mi-corps, assis, bouquet, fleur, robe, dentelle, bijou, perle)",,,propriété de la commune ; donation ; Autun ; musée Rolin,1954 entrée matérielle,,,01620009919,Autun;musée Verger-Tarin,M0162,2017-01-18,,,"France, Bourgogne",,Autun,"46.951003,4.297796"
V.T.2016.1.28,mobilier;ébénisterie,fauteuil,,Bergère de style restauration,anonyme (ébéniste),,,19e siècle,,,style Restauration (1821-1830),,,,Hauteur en cm 93.5 ; Largeur en cm 65 ; Profondeur en cm 55,"bois, acajou, soie",,,,,,propriété de la commune ; don ; Autun ; musée Verger-Tarin,1955 acquis ; 1954 entrée matérielle,,,01620013292,Autun;musée Verger-Tarin,M0162,2017-01-18,,,,,Autun,"46.951003,4.297796"
V.T.2015.1.329,arts décoratifs;verrerie,boîte à bijoux,,Boîte à bijoux en verre facetté et émaillé et or,anonyme (verrier),,,19e siècle,,,,,,,Hauteur en cm 2.3 (boîte) ; Diamètre en cm 5.3 (boîte) ; Diamètre en cm environ 2 (bague) ; Diamètre en cm 1.7 (pendentif),"verre, métal, or, émail, taillé",,,,,,propriété de la commune ; don ; Autun ; musée Verger-Tarin,1955 acquis ; 1954 entrée matérielle,,,01620013221,Autun;musée Verger-Tarin,M0162,2017-01-18,,,,,Autun,"46.951003,4.297796"
2385 ; 875.1032.1,peinture;histoire,tableau,,Vercingétorix appelant les Gaulois à la défense dAlésia (titre récent) ; Vercingétorix appelant les Gaulois à la défense dAlaise (titre du Salon),EHRMANN François Emile (peintre),"Strasbourg, 1833 ; Paris, 1910",,3e quart 19e siècle,1869 vers,,Néo-Classicisme,,,,"H. 200 cm ; l. 152 cm (235,2 x 188,5 x 7,5 cm avec cadre)","toile, peinture à l'huile",,,"scène historique (Vercingétorix, Gaulois, prêtre, paganisme, bouclier, glaive, casque, bijou, trompette)",,,propriété de l'Etat ; achat ; Fonds national d'art contemporain,"1869 Acheté par létat le 28 mai 1869, pour la somme de 3500 F, par arrêté du 28 mai (Archives Nationales F21 138 et 444). Déposé au musée par LEmpereur Napoléon III, en septembre 1869.",1869,,M0121000517,Clermont-Ferrand;musée d'art Roger-Quilliot,M0121,2017-01-19,2017-02-01,,France,dépôt ; Clermont-Ferrand ; musée d'art Roger-Quilliot,Clermont-Ferrand,"45.779582,3.086226"
P 1989.1,peinture,,,Pontoise vue depuis le quartier de l'écluse,BELIARD Edouard,"BELIARD : Paris, 1832 ; Etampes, 1912",France (lieu de création),3e quart 19e siècle,1872,,,,,,dimensions en centimètres 38 x 65 ; dimensions avec cadre en centimètres 46.5 x 73.5 x 3,"toile, peinture à l'huile",,,"paysage (Pontoise, ville, Oise, rivière, personnage, église, usine, berge, peuplier, effet de perspective)",,,propriété de la commune ; achat ; Pontoise ; musée Tavet-Delacour,1989,,,04380002673,Pontoise;musée Tavet-Delacour,M0438,2015-10-21,,,France,,Pontoise,"49.050698,2.099848"
991.2.290 ; 37 (Pré inventaire vente Cottin) ; 2005.01.00290D (Récolement 2004/2005),dessin,,,Rue de la Montagne Sainte-Geneviève à Paris,VAUCANU Emile (dessinateur),"VAUCANU : Bernay, 1864 ; Caucase, 1896 ; nationalité : Française",,4e quart 19e siècle,,,,,,,Hauteur en cm 32.6 ; Largeur en cm 19.5 ; Hauteur image en cm 23.1 ; Largeur image en cm 12.2,"aquarelle, papier",,,"vue d'architecture (Paris, rue, maison)",,,propriété de la commune ; achat avec participation du FRAM ; Bernay ; musée des beaux-arts,1991,,,07010003475,Bernay;musée des beaux-arts,M0701,2015-10-21,,,France,,Bernay,"49.088502,0.597071"
2286 ; 56.269.1 ; 861.771,peinture,tableau,,Céphale et Procris,BOULLOGNE Louis le Jeune (peintre),"Paris, 1654 ; Paris, 1733 ; Né dans une famille de peintres, Louis de Boullogne fut représentatif de cette génération d'artistes formés par la nouvelle Académie de peinture et de sculpture, où il occupa plus tard les plus hautes fonctions. Son style souple et élégant assura la transition entre la période dite « classique » et la production rococo. Grand prix de Rome, il séjourna à Rome cinq ans et rentra en France en 1680. Académicien en 1680, professeur, recteur et en 1722, directeur de l'Académie, il fut décoré de l'ordre de Saint-Michel et anobli en 1724. Il succéda à Coypel comme premier peintre du roi.",,1er quart 18e siècle,1700,,,,,,"H. 57 cm ; l. 57 cm (72 x 72 x 2,5 cm avec cadre)","toile, peinture à l'huile",,,"scène mythologique (Céphale, Procris, amour, chien)","Ovide, Métamorphoses (Livre 7, 661-865)",,propriété de la commune ; achat ; Clermont-Ferrand ; musée d'art Roger-Quilliot,avant 1861,,,M0121004493,Clermont-Ferrand;musée d'art Roger-Quilliot,M0121,2017-01-23,2017-02-01,,France,,Clermont-Ferrand,"45.779582,3.086226"
2016.0.52,photographie,tirage photographique,,Madame Mouleny,LEYGUE Jean (photographe),photographe place du Palais à Moissac,,,,,,,,,"H. 10,3 cm ; l. 6,2 cm",papier (photographie),,,"portrait (femme, en buste)",,,propriété de la commune ; mode d'acquisition inconnu ; Nemours ; Château-Musée,date d'acquisition inconnue,,,M0381002413,Nemours;Château-Musée,M0381,2017-02-17,,,France,,Nemours,"48.268437,2.692729"
2016.0.102 ; 2204 (Jean-Bernard Roy) ; 2063 (inventaire Ganot),peinture,tableau,,La leçon avant le Sabbat,BOUTET DE MONTVEL Maurice (peintre),"BOUTET DE MONTVEL ou BOUTET DE MONVEL : Orléans, 1850 ; Paris, 1913",,4e quart 19e siècle,1880,,,,,,"H. 165 cm ; l. 132 cm (hors cadre) ; H. 183 cm ; l. 155.5 cm ; E. 5.5 cm ; VOLUM. 0,1565 (encadré)",toile;peinture à l'huile,,,"scène (femme, vieille, sorcière, nu, jeunesse, balai, crâne, livre, flacon, chat)",,,propriété de la commune ; mode d'acquisition inconnu ; Nemours ; Château-Musée,date d'acquisition inconnue,,,M0381002466,Nemours;Château-Musée,M0381,2017-02-20,,,France,,Nemours,"48.268437,2.692729"
V.T.2015.1.36,vie domestique;céramique,ensemble;assiette (6),,Ensemble de six assiettes en faïence fine,manufacture de Creil-Montereau (céramiste),manufacture de Creil-Montereau : Union des 2 manufactures le 1er avril 1840,,2e quart 19e siècle,1825,,,vaisselle,,,Diamètre en cm 21.5 ; Epaisseur en cm 2.2,faïence,,,"ornementation, paysage (guirlande, Rome, Florence, Paris)",,,propriété de la commune ; don ; Autun ; musée Verger-Tarin,1955 acquis ; 1954 entrée matérielle,,,01620012928,Autun;musée Verger-Tarin,M0162,2017-01-31,,,,,Autun,"46.951003,4.297796"
1923.10.2 ; 1688-2 (registre d'inventaire historique),estampe,,,Illustration pour le livre de Grez-sur-Loing,"SADLER Fernande (dessinateur, graveur)","Toul, 1869 ; Grez-sur-Loing, 1949 ; femme",,1er quart 20e siècle,1906,,,,,,"H. 33 cm ; l. 25,6 cm (feuille) ; H. 19 cm ; l. 12,1 cm (coup de planche)",papier vergé;eau-forte,,,"paysage (rue, village, maison, église, porche, femme : vieille, panier, volaille : poule, homme, outil : faux)",,,propriété de la commune ; don ; Nemours ; Château-Musée,09/1923,,,M0381002373,Nemours;Château-Musée,M0381,2017-02-16,,,France,,Nemours,"48.268437,2.692729"
793.1.1 ; 49 (Catalogue 1863) ; 861.1.216 (Ancien numéro) ; 794.2.1 (Ancien numéro),estampe,,,La bataille du Granique,"AUDRAN Jean (graveur) ; LE BRUN Charles (d'après, peintre)","AUDRAN : Lyon, 1667 ; Lyon, 1756#LE BRUN : Paris, 1619 ; Paris, 1690",,1ère moitié 18e siècle,,17e siècle,,,,,Hauteur de la feuille en cm 28.5 ; Largeur de la feuille en cm 51.7,"papier vergé, eau-forte, burin",,,"scène historique (conquêtes d'Alexandre, Granique, Alexandre le Grand, Darius III, Perse, bataille, soldat, cheval, armée) ; fond de paysage",Plutarque : Vies des hommes illustres,,propriété de la commune ; saisie révolutionnaire ; Châlons-en-Champagne ; musée des beaux-arts et d'archéologie,1793 entrée matérielle,,,03070000046,Châlons-en-Champagne;musée des beaux-arts et d'archéologie,M0307,2012-04-24,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Châlons-en-Champagne,"48.956391,4.364203"
793.1.5 ; 53 (Catalogue 1863) ; 861.1.220 (Ancien numéro) ; 794.2.5 (Ancien numéro),estampe,,,La défaite de Poros,"AUDRAN Jean (graveur) ; LE BRUN Charles (d'après, peintre)","AUDRAN : Lyon, 1667 ; Lyon, 1756#LE BRUN : Paris, 1619 ; Paris, 1690",,1ère moitié 18e siècle,,17e siècle,,,,,Hauteur de la feuille en cm 29 ; Largeur de la feuille en cm 59.6,"papier vergé, eau-forte, burin",,,"scène historique (conquêtes d'Alexandre, bataille, Alexandre le Grand, Porus, soldat, cheval, éléphant, armée) ; fond de paysage",Plutarque : Vies des hommes illustres,,propriété de la commune ; saisie révolutionnaire ; Châlons-en-Champagne ; musée des beaux-arts et d'archéologie,1793 entrée matérielle,,,03070000050,Châlons-en-Champagne;musée des beaux-arts et d'archéologie,M0307,2012-04-24,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Châlons-en-Champagne,"48.956391,4.364203"
207.08.120,horlogerie;métrologie - instruments de mesure,"réveil (à mouvement mécanique, animé)",,Astérix et Obélix,BAYARD ; REVEILS BAYARD (usine),"REVEILS BAYARD : La ' Société des Anciens Etablissements Duverdrey-Bloquel ' devient la Société Anonyme 'Réveils Bayard' le 14 décembre 1962. Elle perdure jusqu'en juin 1984. A partir de février 1907, DUVERDREY & BLOQUEL donnent l'appellation 'réveils Bayard', et cela bien avant que la marque 'Bayard' ne soit déposée en 1928. La S.A Jaeger devient en 1978 actionnaire majoritaire de la S.A 'Réveils Bayard' . En tant que filiale de la S.A Jaeger, la société 'Réveils Bayard' fait alors partie du groupe Matra-Horlogerie","France, Haute-Normandie, Saint-Nicolas-d'Aliermont (lieu d'exécution)",3e quart 20e siècle,1969,,,mesure du temps,,,Longueur en cm 11.2 ; Epaisseur en cm 4.5 ; Hauteur en cm 12.5 ; Diamètre en cm 11.2,"tôle, embouti, galvanoplastie, vernis, chromé, nickelé",,,"scène (Astérix, Obélix, Gaulois, Idéfix, chien, sanglier, forêt)",,,propriété de la commune ; achat ; Saint-Nicolas-d'Aliermont ; musée de l'Horlogerie Aliermontaise,2007,,,07350000484,Saint-Nicolas-d'Aliermont;musée de l'Horlogerie Aliermontaise,M0735,2012-05-11,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Saint-Nicolas-d'Aliermont,"49.878736,1.219041"
207.08.123,horlogerie;métrologie - instruments de mesure,"réveil (à mouvement mécanique, animé)",,Les 101 dalmatiens,BAYARD ; ROCKING (usine),"ROCKING : Rocking est d'abord une marque de la Société FAMOUS (Fabrication Moderne Usinage), crée en 1955 à Bonnières-sur-Seine. La société des Anciens Etablissement DUVERDREY & BLOQUEL ainsi que ses dirigeants en sont actionnaires. La société Rocking est constitué le 11 septembre 1979. elle est déclarée sous procédure de réglement judiciaire le 23 janvier 84 (dépôt de bilan de la société des réveils Bayard). La liquidation a été clôturée par un jugement en date du 18 mars 1997","France, Haute-Normandie, Saint-Nicolas-d'Aliermont (lieu d'exécution)",4e quart 20e siècle,1982,,,mesure du temps,,,Longueur en cm 11.2 ; Epaisseur en cm 4 ; Hauteur en cm 12.5 ; Diamètre en cm 11.2,"tôle, embouti, galvanoplastie, vernis, nickelé",,,"scène (dalmatien, Pongo, Perdita, chiot, collier, guéridon, fenêtre)",,,propriété de la commune ; achat ; Saint-Nicolas-d'Aliermont ; musée de l'Horlogerie Aliermontaise,2007,,,07350000765,Saint-Nicolas-d'Aliermont;musée de l'Horlogerie Aliermontaise,M0735,2012-05-11,2018-06-18,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Saint-Nicolas-d'Aliermont,"49.878736,1.219041"
207.08.124,horlogerie;métrologie - instruments de mesure,"réveil (à mouvement mécanique, animé)",,Mickey Mouse,BAYARD ; REVEILS BAYARD (usine),"REVEILS BAYARD : La ' Société des Anciens Etablissements Duverdrey-Bloquel ' devient la Société Anonyme 'Réveils Bayard' le 14 décembre 1962. Elle perdure jusqu'en juin 1984. A partir de février 1907, DUVERDREY & BLOQUEL donnent l'appellation 'réveils Bayard', et cela bien avant que la marque 'Bayard' ne soit déposée en 1928. La S.A Jaeger devient en 1978 actionnaire majoritaire de la S.A 'Réveils Bayard' . En tant que filiale de la S.A Jaeger, la société 'Réveils Bayard' fait alors partie du groupe Matra-Horlogerie","France, Haute-Normandie, Saint-Nicolas-d'Aliermont (lieu d'exécution)",4e quart 20e siècle,1981,,,mesure du temps,,,Longueur en cm 11.2 ; Epaisseur en cm 4.5 ; Hauteur en cm 15.4 ; Diamètre en cm 11.2,"tôle, embouti, galvanoplastie, vernis, nickelé;aluminium, vernis",,,"animal imaginaire (souris, Mickey Mouse, gant, chaussure, culotte)",,,propriété de la commune ; achat ; Saint-Nicolas-d'Aliermont ; musée de l'Horlogerie Aliermontaise,2007,,,07350000489,Saint-Nicolas-d'Aliermont;musée de l'Horlogerie Aliermontaise,M0735,2012-05-11,2018-06-18,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Saint-Nicolas-d'Aliermont,"49.878736,1.219041"
